Year,OSHPD_ID,Facility_Name,County_Name,Type_Of_Control,ED_Level,Patient_Type,Gender,Count
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Male,5053
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Female,6740
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Female,1323
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Unknown,1
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Male,939
2011,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Male,5457
2011,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Female,7312
2011,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Female,1362
2011,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Male,1096
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Male,6005
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Visit,Female,7722
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Female,1348
2012,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - District,Emergency - Basic,ED Admit,Male,1247
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,,Emergency - Basic,ED Visit,Male,5937
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,,Emergency - Basic,ED Visit,Female,7601
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,,Emergency - Basic,ED Admit,Female,1355
2013,106010735,ALAMEDA HOSPITAL,ALAMEDA,,Emergency - Basic,ED Admit,Male,1224
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Male,6106
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Female,1187
2014,106010735,ALAMEDA HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Male,1027
2010,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,14054
2010,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,20805
2010,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4068
2010,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2913
2011,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,14610
2011,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,20915
2011,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3754
2011,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2876
2012,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,14509
2012,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,20833
2012,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3438
2012,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2609
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,15540
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,21425
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3344
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,7
2013,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2589
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,17009
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3038
2014,106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2311
2010,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,22657
2010,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,19965
2010,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3245
2010,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2010,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4263
2011,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,21576
2011,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,19109
2011,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3064
2011,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2011,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3898
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,20826
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,18391
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3050
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2012,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3861
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,20338
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,17871
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3117
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other,1
2013,106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3900
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,19684
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3166
2014,106010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3986
2010,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,11805
2010,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,15495
2010,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3254
2010,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3048
2011,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,12278
2011,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,16266
2011,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3521
2011,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3211
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13612
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,18119
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,3248
2012,106010805,EDEN MEDICAL CENTER,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3076
2014,106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,ALAMEDA,Nonprofit - Corporation,,ED Admit,Female,1
2010,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Male,37030
2010,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Female,32177
2010,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Female,3281
2010,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Male,4656
2011,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Male,38202
2011,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Female,33672
2011,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Female,3667
2011,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Male,4880
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Male,40004
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Female,34198
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Female,3708
2012,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Male,5284
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,,Emergency - Basic,ED Visit,Male,38448
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,,Emergency - Basic,ED Visit,Female,34044
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,,Emergency - Basic,ED Admit,Female,3392
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,,Emergency - Basic,ED Visit,Unknown,4
2013,106010846,HIGHLAND HOSPITAL,ALAMEDA,,Emergency - Basic,ED Admit,Male,4946
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Visit,Male,35404
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Female,3516
2014,106010846,HIGHLAND HOSPITAL,ALAMEDA,Public - City or County,Emergency - Basic,ED Admit,Male,4941
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,29986
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,38729
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,5055
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,4
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4093
2010,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Other,1
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,32935
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,42699
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4916
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,7
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4207
2011,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Unknown,1
2012,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,40759
2012,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,51245
2012,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4468
2012,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,17
2012,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3892
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,37742
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,47714
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,4711
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,4
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,3874
2013,106010856,KAISER FOUNDATION HOSPITAL - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Other,2
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,19821
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2419
2014,106010856,KAISER FND HOSP - OAKLAND CAMPUS,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2061
2010,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,29609
2010,106010858,KAISER FOUNDATION HOSPITAL - HAYWARD/FREMONT,ALAMEDA,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,35582
